Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
220	0.0635927	0.0448037	0.0006184	0.0215302	0.0226551	
221	0.0892215	0.0304638	0.0012173	0.0292410	0.0000056	
222	0.0190767	0.0347819	0.0000556	0.0323589	0.0023673	
223	0.2817430	2.2351630	0.0121380	0.5763769	1.6466490	
224	0.1084262	0.2218698	0.0017977	0.2200722	0.0000000	
225	0.7677442	3.2677270	0.0901313	1.4613050	1.7162900	
226	0.0050490	0.0102791	0.0000039	0.0102752	0.0000000	
227	0.0181899	0.0361004	0.0000506	0.0360498	0.0000000	
228	2.1100420	3.8962860	0.6808081	3.1083740	0.1071047	
229	0.0101752	0.0144432	0.0000158	0.0144273	0.0000000	
230	0.0492266	0.0973806	0.0003705	0.0970100	0.0000000	
231	0.3791642	0.7875176	0.0219835	0.7142082	0.0513259	
232	2.2731290	5.4259600	0.7901154	3.2832700	1.3525740	
233	0.3239657	0.6711906	0.0160487	0.6551419	0.0000000	
234	0.1146572	0.0587599	0.0020102	0.0378984	0.0188512	
235	0.1581240	0.3634353	0.0038233	0.3237139	0.0358981	
236	0.1391659	0.6119598	0.0029615	0.2884057	0.3205925	
237	0.0442559	0.0974097	0.0002995	0.0914030	0.0057072	
238	0.0182323	0.0133039	0.0000508	0.0052935	0.0079596	
239	0.0339925	0.0699713	0.0001767	0.0697946	0.0000000	
240	0.0218515	0.0589933	0.0000730	0.0373145	0.0216057	
241	0.0326535	0.0540639	0.0001630	0.0458426	0.0080582	
242	0.0989006	0.0279280	0.0014957	0.0253071	0.0011252	
243	0.1810950	0.2362826	0.0050148	0.2259424	0.0053254	
244	0.0264596	0.0311738	0.0001071	0.0310667	0.0000000	
245	0.2148551	0.2987180	0.0070588	0.2582269	0.0334323	
246	0.0163172	0.0017002	0.0000407	0.0015946	0.0000649	
247	0.0025722	0.0015455	0.0000010	0.0015094	0.0000350	
248	0.0130317	0.0068982	0.0000260	0.0068722	0.0000000	
249	0.0610791	0.0366729	0.0005705	0.0358170	0.0002854	
250	0.0139381	0.0075138	0.0000297	0.0074841	0.0000000	
251	0.0591530	0.0386729	0.0005351	0.0362165	0.0019213	
252	0.0538393	0.0713952	0.0004432	0.0464983	0.0244536	
253	0.2170195	0.1550421	0.0072018	0.1244238	0.0234166	
